primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_ZMB-OFF-002,Kalusha,Bwalya,HOSPITAL_CLERK,+260911111111,k.bwalya,opencrvsmosipcollab@gmail.com,test
CRVS_OFFICE_ZMB-OFF-002,Felix,Katongo,REGISTRATION_AGENT,+260922222222,f.katongo,opencrvsmosipcollab+@gmail.com,test
CRVS_OFFICE_ZMB-OFF-002,Kennedy,Mweene,LOCAL_REGISTRAR,+260933333333,k.mweene,opencrvsmosipcolla.b@gmail.com,test
CRVS_OFFICE_ZMB-OFF-002,Emmanuel,Mayuka,LOCAL_SYSTEM_ADMIN,+260921681112,e.mayuka,opencrvsmosipcoll.ab@gmail.com,test
CRVS_OFFICE_ZMB-OFF-001,Jonathan,Campbell,NATIONAL_SYSTEM_ADMIN,+260921111111,j.campbell,opencrvsmosipcol.lab@gmail.com,test
CRVS_OFFICE_ZMB-OFF-006,Patrick,Gondwe,COMMUNITY_LEADER,+260912121212,p.gondwe,opencrvsmosipco.llab@gmail.com,test
CRVS_OFFICE_ZMB-OFF-006,Joshua,Mutale,REGISTRATION_AGENT,+260923232323,j.mutale,opencrvsmosipc.ollab@gmail.com,test
CRVS_OFFICE_ZMB-OFF-006,Derrick,Bulaya,LOCAL_REGISTRAR,+260934343434,d.bulaya,opencrvsmosip.collab@gmail.com,test
CRVS_OFFICE_ZMB-OFF-006,Alex,Ngonga,LOCAL_SYSTEM_ADMIN,+260978787878,a.ngonga,opencrvsmosi.pcollab@gmail.com,test
CRVS_OFFICE_ZMB-OFF-001,Edgar,Kazembe,PERFORMANCE_MANAGER,+260977777777,e.kazembe,opencrvsmos.ipcollab@gmail.com,test
CRVS_OFFICE_ZMB-OFF-001,Joseph,Musonda,NATIONAL_REGISTRAR,+260915151515,j.musonda,opencrvsmo.sipcollab@gmail.com,test
